,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,RainfallTomorrow,Month
920,2011-07-09,Albury,4.3,9.2,4.2,0.8,9.1,WNW,28.0,WNW,WNW,13.0,19.0,94.0,87.0,1022.2,1021.1,8.0,8.0,7.4,8.1,Yes,No,0.0,7
921,2011-07-10,Albury,6.4,11.0,0.0,2.8,6.1,WNW,46.0,NNW,WNW,19.0,28.0,78.0,68.0,1017.7,1012.6,8.0,8.0,7.0,10.5,No,Yes,6.6,7
922,2011-07-11,Albury,4.7,11.8,6.6,2.6,9.3,W,30.0,WNW,W,15.0,19.0,85.0,64.0,1022.2,1022.7,6.0,8.0,5.7,11.2,Yes,No,0.0,7
923,2011-07-12,Albury,5.7,10.5,0.0,2.8,8.7,NW,28.0,N,NW,0.0,19.0,83.0,64.0,1025.4,1023.4,8.0,7.0,7.7,9.8,No,No,0.0,7
924,2011-07-13,Albury,7.1,9.8,0.0,2.6,1.8,W,30.0,WNW,WNW,15.0,17.0,91.0,88.0,1021.6,1020.1,7.0,6.0,7.2,8.7,No,Yes,4.0,7
925,2011-07-14,Albury,-0.3,12.6,4.0,1.0,5.1,SW,15.0,S,ENE,6.0,2.0,99.0,65.0,1029.3,1029.7,8.0,2.0,4.0,10.7,Yes,No,0.0,7
926,2011-07-15,Albury,-1.6,12.1,0.0,0.8,8.9,E,17.0,N,E,0.0,7.0,95.0,46.0,1036.6,1033.3,0.0,1.0,2.6,12.0,No,No,0.0,7
927,2011-07-16,Albury,0.2,14.1,0.0,1.4,6.0,SE,20.0,N,E,0.0,9.0,78.0,56.0,1031.3,1026.3,8.0,5.0,5.3,13.7,No,No,0.0,7
928,2011-07-17,Albury,5.3,11.1,0.0,2.8,3.4,W,31.0,SE,SSE,7.0,9.0,86.0,95.0,1024.0,1021.2,8.0,8.0,8.4,9.5,No,Yes,8.8,7
929,2011-07-18,Albury,8.4,11.0,8.8,1.4,4.6,WNW,33.0,W,N,17.0,7.0,92.0,85.0,1018.8,1018.3,8.0,8.0,8.6,8.6,Yes,Yes,1.8,7
930,2011-07-19,Albury,0.4,14.5,1.8,1.4,1.3,WSW,13.0,NW,SW,4.0,0.0,99.0,66.0,1020.4,1017.8,8.0,6.0,3.4,14.0,Yes,No,0.2,7
931,2011-07-20,Albury,0.3,16.7,0.2,1.6,7.6,SE,33.0,SE,SE,2.0,19.0,99.0,54.0,1021.5,1020.2,1.0,5.0,3.6,15.8,No,No,0.0,7
932,2011-07-21,Albury,3.5,17.2,0.0,3.2,0.6,SE,26.0,NW,S,4.0,11.0,75.0,46.0,1022.2,1020.0,6.0,4.0,8.8,16.8,No,No,0.0,7
933,2011-07-22,Albury,6.9,15.6,0.0,1.4,3.4,SSE,33.0,SE,SSE,17.0,15.0,56.0,45.0,1023.5,1021.4,4.0,8.0,12.5,15.3,No,No,0.0,7
934,2011-07-23,Albury,0.1,14.6,0.0,2.0,9.6,W,19.0,ESE,W,0.0,11.0,72.0,45.0,1024.7,1021.6,1.0,1.0,5.8,14.3,No,No,0.2,7
935,2011-07-24,Albury,1.6,9.3,0.2,1.8,0.6,E,19.0,NE,E,0.0,11.0,93.0,81.0,1021.0,1018.2,8.0,8.0,5.5,8.9,No,Yes,16.2,7
936,2011-07-25,Albury,5.5,13.2,16.2,0.8,1.8,NW,26.0,SE,NW,9.0,11.0,99.0,80.0,1016.6,1015.8,8.0,8.0,8.0,12.2,Yes,Yes,2.2,7
937,2011-07-26,Albury,4.1,14.1,2.2,1.4,8.9,WNW,28.0,NE,S,2.0,11.0,99.0,63.0,1022.3,1022.0,1.0,1.0,7.0,12.6,Yes,No,0.0,7
938,2011-07-27,Albury,0.5,14.5,0.0,1.8,8.8,NNW,15.0,E,NW,0.0,7.0,99.0,49.0,1030.1,1028.8,0.0,2.0,4.3,14.2,No,No,0.0,7
939,2011-07-28,Albury,0.2,13.1,0.0,2.0,8.4,SE,41.0,ESE,S,6.0,6.0,99.0,59.0,1031.0,1027.6,1.0,1.0,2.9,12.6,No,No,0.0,7
940,2011-07-29,Albury,-1.4,14.7,0.0,2.6,7.9,E,17.0,NW,ESE,2.0,9.0,92.0,52.0,1028.9,1024.7,1.0,5.0,3.6,14.1,No,No,0.2,7
941,2011-07-30,Albury,0.6,16.1,0.2,1.4,6.9,SE,19.0,WNW,SSE,2.0,13.0,89.0,54.0,1024.6,1020.0,4.0,1.0,4.9,15.8,No,No,1.0,7
942,2011-07-31,Albury,4.9,14.7,1.0,1.8,8.6,E,20.0,NNE,ENE,2.0,15.0,96.0,76.0,1021.7,1019.8,7.0,6.0,8.8,13.8,No,No,0.0,7
943,2011-08-01,Albury,3.4,19.0,0.0,3.0,8.2,NE,20.0,N,NNE,0.0,11.0,92.0,55.0,1021.6,1018.5,8.0,1.0,8.7,18.9,No,No,0.0,8
944,2011-08-02,Albury,6.5,20.6,0.0,1.6,4.9,ENE,26.0,N,NE,0.0,13.0,90.0,44.0,1022.2,1018.0,7.0,6.0,10.7,19.5,No,No,0.2,8
945,2011-08-03,Albury,3.9,21.5,0.2,1.4,9.5,NNE,28.0,N,NE,0.0,15.0,92.0,43.0,1022.2,1019.9,1.0,1.0,9.0,21.3,No,No,0.0,8
946,2011-08-04,Albury,7.1,22.9,0.0,2.6,9.0,NNE,35.0,ESE,N,7.0,24.0,64.0,37.0,1024.0,1021.4,1.0,1.0,14.7,22.7,No,No,0.0,8
947,2011-08-05,Albury,5.6,20.7,0.0,2.6,9.4,ESE,44.0,SE,NNE,7.0,24.0,65.0,42.0,1023.0,1018.1,1.0,1.0,13.9,20.3,No,Yes,14.6,8
948,2011-08-06,Albury,9.9,12.9,14.6,3.6,1.6,WSW,30.0,SE,ESE,7.0,6.0,99.0,92.0,1019.4,1014.8,8.0,8.0,10.3,12.4,Yes,Yes,4.2,8
949,2011-08-07,Albury,5.3,11.1,4.2,1.2,5.4,WNW,28.0,WNW,SSW,9.0,7.0,96.0,84.0,1016.4,1013.2,8.0,6.0,7.6,9.6,Yes,Yes,8.2,8
950,2011-08-08,Albury,7.1,12.3,8.2,2.0,3.1,WSW,24.0,S,W,6.0,13.0,95.0,76.0,1011.9,1009.5,7.0,4.0,7.6,9.7,Yes,Yes,1.2,8
951,2011-08-09,Albury,3.1,10.1,1.2,1.2,7.1,W,24.0,ENE,WNW,2.0,13.0,89.0,76.0,1010.2,1008.4,8.0,7.0,6.3,9.9,Yes,Yes,3.6,8
952,2011-08-10,Albury,6.3,10.9,3.6,2.2,6.6,WNW,19.0,N,W,4.0,13.0,89.0,83.0,1009.3,1006.9,2.0,8.0,8.9,10.4,Yes,Yes,2.8,8
953,2011-08-11,Albury,3.4,16.8,2.8,2.4,0.0,SSE,37.0,SE,SE,4.0,22.0,84.0,50.0,1012.0,1012.3,8.0,8.0,7.4,16.7,Yes,No,0.0,8
954,2011-08-12,Albury,1.6,16.3,0.0,0.8,9.0,SW,24.0,SSE,W,4.0,15.0,74.0,43.0,1020.7,1019.5,3.0,2.0,6.9,16.2,No,No,0.0,8
955,2011-08-13,Albury,0.7,13.4,0.0,2.2,3.7,ESE,13.0,N,E,0.0,7.0,91.0,65.0,1025.0,1023.1,8.0,5.0,5.8,13.0,No,No,0.0,8
956,2011-08-14,Albury,4.3,17.3,0.0,1.2,7.6,SSE,22.0,N,NNW,0.0,4.0,88.0,50.0,1027.1,1024.0,4.0,3.0,8.2,16.3,No,Yes,1.2,8
957,2011-08-15,Albury,3.9,13.8,1.2,2.2,4.0,ENE,15.0,SE,ESE,6.0,7.0,86.0,73.0,1025.6,1021.7,7.0,8.0,9.3,13.3,Yes,No,0.2,8
958,2011-08-16,Albury,9.0,19.4,0.2,1.8,7.6,NE,24.0,S,NNE,0.0,13.0,80.0,45.0,1020.8,1016.2,7.0,5.0,11.8,18.7,No,Yes,5.6,8
959,2011-08-17,Albury,7.1,12.6,5.6,2.4,0.0,NE,44.0,SE,NE,4.0,28.0,95.0,91.0,1011.8,1005.7,8.0,8.0,10.4,11.8,Yes,Yes,30.8,8
960,2011-08-18,Albury,7.4,10.8,30.8,2.2,0.4,WNW,35.0,WNW,WNW,19.0,15.0,90.0,91.0,1010.7,1010.2,8.0,7.0,7.5,9.6,Yes,No,0.8,8
961,2011-08-19,Albury,6.9,19.3,0.8,1.2,6.3,SE,28.0,SSE,SE,11.0,19.0,88.0,49.0,1021.0,1020.7,6.0,3.0,8.2,19.1,No,No,0.0,8
962,2011-08-20,Albury,3.2,17.3,0.0,3.0,9.4,SE,22.0,SE,SSE,7.0,9.0,62.0,32.0,1031.5,1030.4,1.0,1.0,11.2,16.6,No,No,0.0,8
963,2011-08-21,Albury,2.1,18.0,0.0,2.4,4.9,SW,20.0,ESE,SW,6.0,11.0,79.0,46.0,1037.3,1034.6,8.0,2.0,8.9,17.4,No,No,0.0,8
964,2011-08-22,Albury,1.8,17.7,0.0,2.4,2.6,WSW,22.0,NNE,NW,6.0,7.0,79.0,47.0,1039.9,1036.0,7.0,6.0,8.8,17.1,No,No,0.0,8
965,2011-08-23,Albury,2.5,16.9,0.0,1.8,8.3,S,17.0,E,NNE,7.0,9.0,99.0,56.0,1037.3,1032.6,8.0,1.0,6.4,16.1,No,No,0.0,8
966,2011-08-24,Albury,2.4,17.5,0.0,2.4,9.9,ENE,17.0,ESE,SE,11.0,6.0,99.0,56.0,1031.4,1026.7,1.0,0.0,6.6,16.8,No,No,0.0,8
967,2011-08-25,Albury,2.5,20.7,0.0,2.8,8.7,N,31.0,SSE,N,7.0,19.0,99.0,48.0,1025.6,1020.6,3.0,7.0,7.2,20.2,No,No,0.0,8
968,2011-08-26,Albury,1.9,16.6,0.0,4.0,9.8,WNW,24.0,S,W,6.0,13.0,99.0,36.0,1025.6,1023.2,8.0,2.0,6.5,16.4,No,No,0.0,8
969,2011-08-27,Albury,0.8,16.8,0.0,4.0,8.6,WSW,31.0,ESE,W,2.0,17.0,71.0,42.0,1023.7,1019.9,1.0,6.0,8.2,16.4,No,No,0.0,8
970,2011-08-28,Albury,0.4,16.2,0.0,3.0,8.9,WSW,24.0,N,WNW,0.0,7.0,72.0,44.0,1022.8,1018.7,7.0,2.0,7.3,15.8,No,No,0.0,8
971,2011-08-29,Albury,1.4,15.9,0.0,4.6,8.7,W,26.0,W,WNW,2.0,19.0,80.0,59.0,1019.2,1018.2,5.0,8.0,8.2,15.6,No,No,0.0,8
972,2011-08-30,Albury,0.6,15.7,0.0,3.4,7.0,WNW,20.0,E,NNW,0.0,7.0,99.0,47.0,1024.3,1022.1,7.0,7.0,5.4,15.0,No,No,0.0,8
973,2011-08-31,Albury,0.4,15.8,0.0,3.0,9.0,WNW,26.0,SE,WSW,6.0,19.0,87.0,56.0,1025.4,1023.2,1.0,7.0,6.5,15.6,No,No,0.0,8
974,2011-09-01,Albury,2.6,18.3,0.0,2.6,9.3,S,15.0,E,S,6.0,4.0,82.0,42.0,1025.6,1023.0,2.0,4.0,9.3,17.9,No,No,0.0,9
975,2011-09-02,Albury,2.8,20.4,0.0,3.4,10.3,ESE,17.0,SE,E,7.0,7.0,65.0,31.0,1028.4,1025.3,1.0,1.0,10.4,19.6,No,No,0.0,9
976,2011-09-03,Albury,2.6,19.6,0.0,7.0,9.4,NE,30.0,ESE,ENE,4.0,20.0,71.0,44.0,1028.4,1023.6,4.0,1.0,10.2,18.8,No,No,0.0,9
977,2011-09-04,Albury,6.5,16.8,0.0,2.8,6.7,ENE,31.0,ENE,E,9.0,11.0,65.0,68.0,1024.2,1021.8,5.0,6.0,14.5,15.6,No,Yes,3.2,9
978,2011-09-05,Albury,4.8,21.4,3.2,2.0,9.6,N,31.0,N,NNE,0.0,22.0,86.0,52.0,1024.5,1020.2,4.0,6.0,10.8,20.7,Yes,Yes,5.0,9
979,2011-09-06,Albury,10.8,18.8,5.0,5.2,4.2,W,56.0,N,W,24.0,33.0,55.0,71.0,1014.9,1014.1,3.0,8.0,16.7,12.1,Yes,No,1.0,9
980,2011-09-07,Albury,-0.1,14.4,1.0,2.8,8.0,NW,30.0,W,WSW,0.0,17.0,78.0,44.0,1021.3,1020.2,1.0,5.0,7.3,13.7,No,No,0.0,9
981,2011-09-08,Albury,0.4,15.9,0.0,2.8,7.7,WNW,22.0,SSE,NW,7.0,11.0,74.0,38.0,1022.7,1018.6,2.0,7.0,7.8,15.7,No,No,0.0,9
982,2011-09-09,Albury,2.7,14.0,0.0,2.6,3.5,S,57.0,W,WSW,20.0,30.0,70.0,47.0,1013.1,1010.6,8.0,8.0,8.4,13.0,No,No,0.2,9
988,2011-09-15,Albury,1.7,17.2,0.0,2.8,6.5,W,31.0,E,NW,4.0,15.0,72.0,33.0,1023.3,1020.4,1.0,7.0,9.7,16.9,No,No,0.0,9
989,2011-09-16,Albury,4.4,20.8,0.0,3.6,8.1,WSW,24.0,SSE,S,6.0,7.0,78.0,50.0,1017.8,1013.9,7.0,3.0,9.8,19.3,No,No,0.0,9
990,2011-09-17,Albury,3.7,21.7,0.0,5.0,10.0,NE,26.0,E,NE,7.0,20.0,78.0,52.0,1017.5,1011.8,0.0,6.0,12.0,21.5,No,No,0.0,9
991,2011-09-18,Albury,5.5,23.9,0.0,6.0,11.1,NNW,19.0,SE,WSW,4.0,11.0,52.0,36.0,1015.6,1015.2,1.0,2.0,14.7,23.2,No,No,0.0,9
992,2011-09-19,Albury,5.3,26.7,0.0,6.6,10.1,WNW,57.0,SE,NE,9.0,22.0,70.0,36.0,1015.5,1007.0,0.0,1.0,14.8,26.4,No,No,1.0,9
993,2011-09-20,Albury,10.1,13.6,1.0,9.2,6.0,W,61.0,WNW,W,31.0,22.0,73.0,70.0,1008.8,1011.2,8.0,5.0,12.2,12.9,No,Yes,3.6,9
994,2011-09-21,Albury,1.7,18.2,3.6,5.2,11.4,W,30.0,NW,WNW,0.0,17.0,99.0,53.0,1022.6,1020.3,8.0,5.0,7.8,18.0,Yes,No,0.0,9
995,2011-09-22,Albury,4.4,22.1,0.0,4.2,10.0,ENE,30.0,E,N,9.0,13.0,81.0,36.0,1023.4,1017.4,0.0,1.0,12.6,21.9,No,No,0.0,9
996,2011-09-23,Albury,10.0,18.4,0.0,5.6,11.4,W,35.0,W,WNW,17.0,22.0,65.0,39.0,1017.9,1018.1,0.0,7.0,14.5,17.8,No,No,0.0,9
997,2011-09-24,Albury,1.9,18.3,0.0,8.0,2.5,SE,37.0,ESE,NW,11.0,11.0,69.0,39.0,1020.3,1016.3,6.0,5.0,11.8,17.9,No,No,1.0,9
998,2011-09-25,Albury,8.6,19.8,1.0,2.8,7.5,SSE,43.0,S,E,15.0,9.0,53.0,36.0,1022.2,1020.5,7.0,7.0,13.7,18.9,No,No,0.0,9
999,2011-09-26,Albury,3.1,19.6,0.0,2.8,7.6,ENE,20.0,ESE,NNE,6.0,9.0,65.0,37.0,1025.0,1019.7,2.0,3.0,11.7,19.0,No,No,0.0,9
1000,2011-09-27,Albury,7.0,21.3,0.0,6.8,8.6,ENE,35.0,ESE,NE,7.0,20.0,72.0,44.0,1019.9,1014.4,8.0,7.0,13.3,20.5,No,No,0.6,9
1001,2011-09-28,Albury,11.5,19.2,0.6,3.2,0.0,WNW,83.0,ESE,ENE,9.0,19.0,69.0,93.0,1008.7,1004.9,4.0,8.0,16.9,14.3,No,Yes,28.4,9
1002,2011-09-29,Albury,10.7,12.3,28.4,2.4,5.0,NW,59.0,WNW,WNW,30.0,20.0,84.0,89.0,996.3,996.2,3.0,8.0,11.2,10.0,Yes,Yes,8.2,9
1003,2011-09-30,Albury,7.5,15.5,8.2,5.2,7.5,NW,48.0,NW,NNW,20.0,20.0,84.0,59.0,1006.1,1003.7,8.0,8.0,10.1,15.1,Yes,Yes,3.8,9
1004,2011-10-01,Albury,8.2,13.5,3.8,3.0,1.8,ENE,26.0,SE,SW,9.0,11.0,85.0,80.0,1005.8,1007.1,8.0,8.0,10.5,13.0,Yes,Yes,5.8,10
1005,2011-10-02,Albury,4.2,17.6,5.8,1.6,2.8,SSE,35.0,S,S,13.0,17.0,69.0,47.0,1018.4,1018.1,4.0,6.0,11.3,14.8,Yes,No,0.8,10
1006,2011-10-03,Albury,2.9,18.3,0.8,1.6,10.2,WSW,22.0,SSE,E,9.0,9.0,67.0,40.0,1024.7,1022.1,1.0,6.0,9.4,17.5,No,No,0.0,10
1007,2011-10-04,Albury,4.1,19.3,0.0,5.0,10.4,SSW,24.0,ESE,S,6.0,4.0,74.0,47.0,1024.9,1021.9,1.0,1.0,10.5,19.1,No,No,0.0,10
1008,2011-10-05,Albury,5.6,17.8,0.0,4.2,6.8,ENE,19.0,SE,SSE,4.0,13.0,89.0,59.0,1020.5,1016.4,7.0,5.0,10.2,17.4,No,No,0.0,10
1009,2011-10-06,Albury,10.2,16.0,0.0,4.4,0.0,SW,13.0,S,S,9.0,4.0,87.0,80.0,1014.8,1012.6,8.0,8.0,13.0,15.0,No,Yes,4.2,10
1010,2011-10-07,Albury,11.1,21.4,4.2,1.2,1.7,W,41.0,S,WSW,7.0,7.0,88.0,53.0,1013.2,1010.1,8.0,7.0,13.3,19.9,Yes,No,0.0,10
1011,2011-10-08,Albury,8.7,21.8,0.0,0.8,5.9,WSW,33.0,SE,W,4.0,24.0,79.0,50.0,1012.2,1009.5,7.0,6.0,13.5,21.3,No,No,0.0,10
1012,2011-10-09,Albury,10.7,18.6,0.0,4.2,6.7,WSW,46.0,W,WNW,13.0,28.0,89.0,57.0,1010.1,1007.4,8.0,5.0,12.6,18.4,No,Yes,2.0,10
1015,2011-10-12,Albury,2.6,20.3,0.0,4.8,10.5,W,24.0,S,S,6.0,11.0,81.0,31.0,1018.8,1016.8,1.0,1.0,8.9,18.3,No,No,0.0,10
1016,2011-10-13,Albury,5.3,23.2,0.0,4.8,9.3,NNE,28.0,ESE,NNE,6.0,7.0,73.0,47.0,1021.2,1017.9,6.0,5.0,12.4,22.2,No,No,0.0,10
1017,2011-10-14,Albury,10.0,24.3,0.0,4.6,5.1,NE,28.0,ESE,NE,11.0,13.0,74.0,54.0,1017.2,1012.3,7.0,4.0,15.8,23.3,No,No,0.0,10
1018,2011-10-15,Albury,10.3,25.5,0.0,2.6,7.0,W,43.0,E,W,4.0,19.0,77.0,53.0,1009.9,1007.5,7.0,8.0,17.1,23.7,No,No,0.0,10
1019,2011-10-16,Albury,9.1,18.7,0.0,6.0,11.3,W,50.0,WSW,W,24.0,33.0,58.0,34.0,1017.9,1020.5,1.0,5.0,12.7,17.3,No,No,0.0,10
1020,2011-10-17,Albury,4.3,20.3,0.0,7.2,12.4,W,22.0,S,ESE,11.0,7.0,64.0,29.0,1032.4,1030.9,0.0,0.0,10.2,18.3,No,No,0.0,10
1021,2011-10-18,Albury,5.2,23.7,0.0,6.2,11.5,NNW,22.0,SE,WNW,7.0,7.0,69.0,35.0,1033.4,1029.7,1.0,1.0,12.7,23.0,No,No,0.0,10
1022,2011-10-19,Albury,5.7,25.7,0.0,4.4,12.0,WSW,20.0,SSE,SSE,4.0,11.0,63.0,42.0,1030.1,1026.1,0.0,1.0,14.1,24.9,No,No,0.0,10
1023,2011-10-20,Albury,8.3,28.0,0.0,6.0,12.5,NE,31.0,SE,NNW,6.0,13.0,68.0,34.0,1026.8,1021.7,0.0,2.0,16.6,27.5,No,No,0.0,10
1024,2011-10-21,Albury,11.3,24.7,0.0,6.2,12.1,WSW,35.0,ENE,S,6.0,11.0,77.0,47.0,1023.7,1022.7,3.0,1.0,17.9,23.6,No,No,0.0,10
1025,2011-10-22,Albury,13.3,25.9,0.0,0.2,5.0,ENE,22.0,SW,S,2.0,11.0,85.0,48.0,1023.9,1020.8,7.0,7.0,15.6,25.3,No,No,0.0,10
1026,2011-10-23,Albury,11.7,30.9,0.0,4.8,11.6,NE,24.0,SSE,WNW,2.0,11.0,66.0,27.0,1020.7,1015.4,1.0,3.0,18.3,30.3,No,No,0.0,10
1027,2011-10-24,Albury,18.0,28.4,0.0,7.2,9.2,W,43.0,NNW,SW,17.0,13.0,46.0,49.0,1010.0,1006.3,5.0,4.0,23.8,26.7,No,Yes,12.2,10
1028,2011-10-25,Albury,11.9,20.6,12.2,8.4,3.5,SE,39.0,SE,SSE,15.0,20.0,85.0,60.0,1010.8,1012.5,8.0,8.0,13.0,19.3,Yes,No,0.0,10
1029,2011-10-26,Albury,11.7,23.3,0.0,0.4,0.0,N,28.0,E,SE,7.0,9.0,57.0,46.0,1020.2,1018.3,8.0,8.0,16.2,21.9,No,No,0.0,10
1030,2011-10-27,Albury,8.8,23.8,0.0,0.7,3.4,E,28.0,SE,ENE,9.0,15.0,63.0,43.0,1022.5,1017.9,8.0,8.0,15.4,22.6,No,No,0.0,10
1031,2011-10-28,Albury,12.4,25.9,0.0,4.2,4.3,ENE,31.0,ESE,NE,11.0,19.0,80.0,56.0,1016.1,1011.5,4.0,1.0,16.7,24.7,No,Yes,1.2,10
1032,2011-10-29,Albury,16.7,25.0,1.2,5.5,9.0,W,44.0,N,NW,9.0,20.0,91.0,63.0,1010.4,1009.9,5.0,8.0,18.4,24.0,Yes,No,0.0,10
1033,2011-10-30,Albury,9.9,20.1,0.0,7.8,1.7,W,50.0,WNW,W,17.0,28.0,74.0,54.0,1015.2,1015.6,1.0,7.0,13.1,19.1,No,No,0.0,10
1034,2011-10-31,Albury,6.4,23.1,0.0,4.0,1.5,SW,30.0,SE,W,19.0,13.0,60.0,41.0,1022.8,1019.6,7.0,2.0,14.1,21.3,No,No,0.0,10
1035,2011-11-01,Albury,9.3,24.8,0.0,2.6,11.5,WSW,41.0,ESE,WNW,9.0,15.0,62.0,39.0,1019.8,1015.2,1.0,2.0,15.7,23.4,No,No,0.0,11
1036,2011-11-02,Albury,11.4,22.2,0.0,5.8,6.4,W,46.0,W,WSW,11.0,28.0,64.0,51.0,1013.9,1011.1,6.0,7.0,14.9,21.2,No,No,0.0,11
1037,2011-11-03,Albury,9.3,22.3,0.0,3.2,6.1,SW,39.0,SW,WNW,9.0,20.0,61.0,29.0,1013.5,1012.4,6.0,5.0,14.5,21.9,No,No,0.0,11
1038,2011-11-04,Albury,8.1,26.6,0.0,4.4,11.6,SW,24.0,ESE,ESE,9.0,11.0,57.0,36.0,1018.4,1015.5,2.0,2.0,16.0,24.5,No,No,0.0,11
1039,2011-11-05,Albury,9.8,29.6,0.0,5.6,11.0,SW,35.0,ESE,SE,11.0,17.0,72.0,36.0,1016.9,1012.5,1.0,1.0,18.5,28.7,No,No,0.0,11
1040,2011-11-06,Albury,13.8,32.9,0.0,6.6,9.0,NW,50.0,ESE,NNW,7.0,15.0,63.0,44.0,1011.2,1006.4,3.0,7.0,21.7,27.1,No,Yes,5.4,11
1041,2011-11-07,Albury,15.8,28.5,5.4,6.0,8.6,E,30.0,ENE,E,4.0,17.0,83.0,47.0,1013.1,1011.0,8.0,4.0,21.4,27.5,Yes,No,0.0,11
1042,2011-11-08,Albury,16.7,30.1,0.0,5.6,3.8,WNW,39.0,SSE,WSW,7.0,13.0,72.0,43.0,1009.9,1009.6,6.0,8.0,22.7,28.8,No,No,0.0,11
1043,2011-11-09,Albury,15.7,31.2,0.0,3.4,8.8,WNW,78.0,SSE,NNW,4.0,24.0,85.0,51.0,1013.4,1008.8,8.0,4.0,19.8,28.9,No,Yes,34.8,11
1044,2011-11-10,Albury,13.9,22.8,34.8,6.4,9.0,W,61.0,WNW,W,24.0,22.0,87.0,38.0,1011.7,1015.5,8.0,1.0,15.9,21.6,Yes,No,0.0,11
1045,2011-11-11,Albury,9.6,25.3,0.0,5.8,10.7,ENE,35.0,ESE,N,7.0,13.0,72.0,30.0,1023.5,1020.3,1.0,1.0,16.4,24.0,No,No,0.0,11
1046,2011-11-12,Albury,12.5,27.0,0.0,3.6,10.3,W,33.0,ENE,WSW,6.0,19.0,65.0,32.0,1019.0,1016.0,6.0,3.0,18.8,26.7,No,No,0.0,11
1047,2011-11-13,Albury,13.0,28.3,0.0,5.8,9.8,W,31.0,SE,NNE,6.0,6.0,66.0,32.0,1015.7,1011.7,4.0,4.0,19.7,28.0,No,No,0.0,11
1048,2011-11-14,Albury,16.1,28.3,0.0,5.2,11.5,W,46.0,NNW,W,19.0,30.0,49.0,31.0,1006.1,1008.3,3.0,4.0,25.2,27.6,No,No,0.0,11
1049,2011-11-15,Albury,11.9,29.3,0.0,9.0,10.7,WNW,37.0,SSE,W,2.0,19.0,65.0,29.0,1016.4,1014.5,0.0,2.0,18.9,28.4,No,No,0.0,11
1050,2011-11-16,Albury,16.0,22.0,0.0,6.6,1.9,WSW,43.0,SSE,SSW,15.0,7.0,62.0,78.0,1018.3,1016.6,8.0,8.0,20.1,19.4,No,No,0.2,11
1051,2011-11-17,Albury,12.8,27.5,0.2,4.0,10.7,S,20.0,SSE,SSE,2.0,11.0,89.0,52.0,1019.2,1015.4,8.0,2.0,17.2,26.3,No,No,0.0,11
1052,2011-11-18,Albury,15.1,31.9,0.0,8.0,11.7,NNW,31.0,E,NNW,9.0,11.0,66.0,36.0,1017.1,1013.0,6.0,4.0,22.9,30.5,No,No,0.0,11
1053,2011-11-19,Albury,19.9,29.6,0.0,6.2,11.7,WSW,33.0,SSE,SSE,13.0,19.0,72.0,62.0,1013.4,1008.4,8.0,7.0,21.9,26.5,No,No,0.0,11
1054,2011-11-20,Albury,17.4,22.8,0.0,8.4,2.1,W,44.0,WNW,WNW,28.0,24.0,92.0,44.0,1011.4,1013.6,8.0,8.0,17.5,20.7,No,No,0.0,11
1055,2011-11-21,Albury,8.1,23.5,0.0,2.2,7.4,W,33.0,ENE,WSW,4.0,19.0,54.0,36.0,1018.1,1014.3,4.0,7.0,17.0,22.6,No,Yes,2.6,11
1056,2011-11-22,Albury,11.9,22.7,2.6,4.6,1.9,N,31.0,S,NNW,2.0,7.0,76.0,39.0,1012.3,1009.8,8.0,8.0,14.7,22.2,Yes,No,0.0,11
1057,2011-11-23,Albury,10.0,24.4,0.0,2.4,6.2,SE,37.0,SE,SE,19.0,17.0,53.0,30.0,1017.9,1017.3,6.0,5.0,17.5,23.5,No,No,0.0,11
1058,2011-11-24,Albury,10.8,26.0,0.0,4.4,2.4,E,44.0,SE,E,19.0,26.0,44.0,54.0,1024.5,1025.1,8.0,7.0,17.2,15.3,No,Yes,11.0,11
1059,2011-11-25,Albury,15.0,20.0,11.0,4.4,0.4,ESE,31.0,SSE,ESE,11.0,13.0,99.0,91.0,1020.1,1019.5,8.0,8.0,15.0,15.4,Yes,Yes,44.0,11
1060,2011-11-26,Albury,15.0,25.0,44.0,4.4,6.7,NW,65.0,NE,NW,13.0,39.0,83.0,34.0,1006.2,1004.0,3.0,4.0,20.0,23.8,Yes,Yes,14.0,11
1061,2011-11-27,Albury,15.0,27.0,14.0,5.6,11.0,NW,59.0,W,NNW,15.0,28.0,76.0,48.0,1009.4,1009.2,7.0,2.0,16.6,23.6,Yes,No,0.0,11
1062,2011-11-28,Albury,12.0,31.5,0.0,6.0,9.7,NNE,35.0,E,NW,11.0,11.0,72.0,29.0,1016.0,1013.3,4.0,7.0,20.9,29.6,No,No,0.0,11
1063,2011-11-29,Albury,18.4,35.9,0.0,5.0,7.5,W,59.0,E,N,9.0,22.0,68.0,22.0,1012.7,1007.1,1.0,1.0,22.5,34.8,No,Yes,16.6,11
1064,2011-11-30,Albury,19.2,21.6,16.6,9.0,2.0,WSW,48.0,WNW,WNW,26.0,15.0,66.0,87.0,1006.8,1013.0,8.0,8.0,21.1,15.6,Yes,Yes,2.8,11
